,emotion,labels_clean
12200,disgusted,Sounds gross lol
12201,disgusted,Omg You should take your dog to an obedience school
12202,disgusted,Its always a surprise haha I call the poop le shrimp because it curves like a shrimp scallop scampi Oh baby
12219,annoyed,Oh no I hate that feeling  Is it better now
12220,annoyed,That is no good
12221,annoyed,Yea its fine I just really aggravting since I am not used to that table being there I was trying to turn an alarm off and I was running too fast
12269,disgusted,thats awful did it clean up easily
12270,disgusted,well thats good to hear
12271,disgusted,its left some grease in my truck bed but other than that it was okay
12307,annoyed,OH that sucks
12308,annoyed,Do you think the other person deserved it at all
12309,annoyed,I know I really thought it was in the bag 
12331,angry,Oh yea What was the bet
12332,angry,Everyones got that low minimum wage job at one point in their life sometimes
12333,angry,That my mom never worked at McDonalds when she was younger 
12334,angry,She told me she had never worked in a restaurant when I wa little I think they duped me
12358,disgusted,Allergic to onions I have never heard of anyone with that allergy Must be tough 
12359,disgusted,I hate onions I just dont like the texture of them
12360,disgusted,Not if I donte eat them There were so many onions on that burger
12374,angry,That sounds familiar  Is there someone she can get it from
12375,angry,That’s a relief  
12376,angry,Shes working on that now
12414,angry,I hate bullying You should talk to the kiids parents
12415,angry,Beat the kids up Thats what I would do
12416,angry,They have been in the meetings with us and say it isnt their kids fault
12534,disgusted,It can help but I could not watch it
12535,disgusted,Me neither which sucks cause it pays well
12536,disgusted,Yeah I could never be a doctor
12681,angry,That is bad What happened
12682,angry,Wow Did you call the police
12683,angry,She stole money from me
12684,annoyed,Yeah it sucks I have noticed it too
12685,annoyed,I know and it is really sad
12686,annoyed,Trump doesnt care about the lower and middle class We are paying the prices of his actions
12699,disgusted,Oh I hate when I see that happen
12700,disgusted,Sometimes I think parents need a training class
12701,disgusted,Me too She was busy with her phone
12764,annoyed,Are you anxious about it
12765,annoyed,Sometimes people are not thoughtful of other peoples time
12766,annoyed,That and Im pretty pissed off Theres no communication
12770,annoyed,Oh god I hate that What did you do
12771,annoyed,Im sorry that happened How much did it cost to repair
12772,annoyed,I had to put the spare on and take the damaged tire to be fixed It was so frustrating 
12797,annoyed,Oh my gosh thats so annoying How did you deal with it
12798,annoyed,That was a good solution Smart thinking
12799,annoyed,Well eventually I just called up a local post office and asked if they were hiring and sent her in to apply and she got a job which got her up
12806,angry,Were they related
12807,angry,Thats terrible to be yelling at a kid who probably doesnt know any better
12808,angry,Im not sure but it made me very upset
12819,annoyed,That is weird  Do you know what happened
12820,annoyed,That is creepy  
12821,annoyed,Apparently it had to do with an unahtorized person on the tracks
12852,annoyed,That sounds crazy
12853,annoyed,What happened next
12854,annoyed,I was so irritated She was sobbing hysterically And my poor son just stood there not knowing what to do
12855,annoyed,My mom finally went in between them and said I think you have had long enough If he wanted you on him he would have asked you to be here Its his moms turn
12866,annoyed,Oh no Did you need it
12867,annoyed,Sometimes we forget stuff It happens
12868,annoyed,It was a little difficult to get into work without it
12878,angry,I think were just another number for them
12879,angry,Im actually doing one now Need better pay I wish us both the best of luck
12880,angry,Yeah Im starting to feel that way How long ago was it that you had to do a job hunt
12893,disgusted,Thats insanely gross
12894,disgusted,He will be single forever
12895,disgusted,Tragic lol
12896,disgusted,He smelled so bad And before I moved out he had dishes with food in them from over a month before
12897,disgusted,We can only hope so
12940,annoyed,What time is it there
12941,annoyed,Well they should prbabl shut it down soon It is only Thursday
12942,annoyed,Around 9pm
12957,angry,Thats sad If you cant trust your family how can you trust Are you going to say something
12958,angry,I dont know If you let it go it could happen again and again
12959,angry,I dont know Maybe not It hasnt really happened before so Im not too beat up about it But Im a struggling college student so every bit counts It was probably my teenage sister Id rather not create a lot of loud drama
12978,annoyed,Thats really nice What does he usually get at the store
12979,annoyed,Sounds a lot like me I love going through the toys and gadgets section to see if I can find anything for my kids
12980,annoyed,Mainly groceries but he always wanders through the clearance aisles of toys and gadgets and takes forever while we just sit and wait on him to eat dinner
12988,angry,Haha why
12989,angry,I disagree with both Democrats and Republicans
12990,angry,The country needs a border wall with Mexico and the dims keep blocking the resolution
13045,disgusted,I am so sorry to hear that  It will get better
13046,disgusted,That seems pretty gross especially the possums
13047,disgusted,Yeah it did once I cleaned it up But it was pretty nasty when I had to do that Garbage and possums were everywhere
13064,angry,Hmmm sounds like an unpleasant job Maybe they ask you for help because youre the only one around It doesnt hurt to help those in need
13065,angry,That is a fair point You cant have those that are there to protect us be distracted This is a key tenant when Im on watch in the Navy
13066,angry,i understand but im there to make sure everybody is safe if i start helping customers i might miss a person getting a gun out or something like that
13097,annoyed,Have you met them yet
13098,annoyed,That might be a bad sign
13099,annoyed,No but its late and they are putting pictures or something on the wall All I hear is the hammer
13100,annoyed,I know
13126,disgusted,Why did you ask for onions then
13127,disgusted,Oh I was confused
13128,disgusted,Well did you get your money back
13129,disgusted,Obviously I didnt ask for them
13130,disgusted,I specifically asked for no onions
13131,disgusted,I got a new burger but my apetite was ruined by then
13236,disgusted,Dang that is some nasty stuff Did you take your shoe and shove it in the face of your sworn enemies
13237,disgusted,I guess you shouldnt clean the poop off your shoe then Save it for when the time comes
13238,disgusted,Haha maybe next time
13313,annoyed,Thats one of those things that never gets old to complain about because its one of lifes timetested annoyances And whats worse is you open the door or window for them and they still refuse to leave
13314,annoyed,And you never have a flyswatter when you need one Like who keeps one of those around Although I always have flipflops because I live near the coast so that makes a decent flyswatter
13315,annoyed,I know Its like the fly loves to annoy me lol
13316,disgusted,That is hilarious
13317,disgusted,OH no Im sorry I laughed then
13318,disgusted,Not to me it wasnt I felt like something was off about the taste too like there was little grains of dirt or gravel or rock or something And now I feel gross thinking about what else it could have touched since our dogs poop in that yard
13337,disgusted,Whats wrong with them
13338,disgusted,That is so gross tell them to clean up after themselves
13339,disgusted,They leave trash everywhere and so do their guests
13340,disgusted,I dont want to start a fight though
13452,annoyed,I am sorry to hear that Do you know the reason why
13453,annoyed,Perhaps talking to your doctor would be a good idea
13454,annoyed,I think it has something to do with my metabolism Not really sure to be honest
13498,disgusted,That is so disgusting What did you do
13499,disgusted,That must have been a terrible situation
13500,disgusted,I refused to clean up after him And I made sure I was there as little as possible He smelled so bad
13531,annoyed,Oh yes kids can be a lot apartments should always have kids on the bottom
13532,annoyed,I dont know why some people have kids
13533,annoyed,I completely agree The parents dont watch the kids and let them do whatever they want 
13537,annoyed,What happened
13538,annoyed,Ah gotcha I hope it works out for him and you
13539,annoyed,too many outside distractions trying to run a church while working at his real job
13558,angry,why did he do that
13559,angry,that sucks
13560,angry,Because he was sad at the result I suppose
13579,disgusted,Ew why not a napkin
13580,disgusted,Times are tough
13581,disgusted,It was so gross I think he was homeless
13606,disgusted,That can be hard sometimes Have you talked to them about it
13607,disgusted,I would try and be honest with them about it and tell them it makes you uncomfortable 
13608,disgusted,Well I love honesty and everything but I think someones sex life is private and I dont want to know about it in that context
13648,disgusted,In a cool antique way or a disgusting way
13649,disgusted,That is so gross Did you complain to them
13650,disgusted,Disgusting that cap was so crusty it was unbelievable I dont know why they dont replace them montly ugh
13704,disgusted,What did you eat
13705,disgusted,Where did you go after you left
13706,disgusted,Nothing because I lost my appetite after attempting to use the restrooms and then realizing how dirty smelly and gross they were We had to leave after that
13740,disgusted,I sorry that you have to deal with that
13741,disgusted,Yeah you need to get of there quickly
13742,disgusted,Thanks Me too I am moving soon Its the wild wild west here They even drive bad and hit kids all the time Police are too busy being corrupt to show up
13813,annoyed,That is so annoying Maybe youd have to get a chart to keep track
13814,annoyed,That is too bad I am sorry you have to deal with that
13815,annoyed,Yeah I didnt think I would be rooming with an adult 12 year old though
13862,angry,Oh that sucks I can barely do 5 without needing a break
13863,angry,Thats quite unfortunate I feel for you as I used to live in a small town where jobs were scarce Its rough when there is no competition
13864,angry,Honestly its starting to feel like they have it out for me I want to leave but there isnt anywhere else to work around here
13865,angry,Guess I will just have to grin and bear it 
13887,annoyed,sorry to hear that Sometimes there can be a technical  problem
13888,annoyed,sorry about that seems their customer service is not welcoming
13889,annoyed,Yeah it can be frustrating when the workers there just shrug their shoulders and offer nothing in return
13890,annoyed,I wish customer service was better these days It is a declining service
13891,disgusted,Some people think they know all the answers Its sad as they usually dont grow as much as people
13892,disgusted,I hope he does for his sake But I imagine he will come around
13893,disgusted,If he does not behave himself I am afraid I would have to write a query so that he is removed 
13903,angry,Wow I would have been upset How did you react
13904,angry,Are they going to pay you back for it
13905,angry,I was very upset
13906,angry,I never found out who it was unfortunately
14020,annoyed,Oh thats terrible  Did he say how he lost it
14021,annoyed,Do you remember the title  Maybe you can get another copy
14022,annoyed,Yea he accidentally left it out in the rain So of course its no good anymore
14036,disgusted,Ive never been in one but I always assumed they were cleaner
14037,disgusted,Ew thats gross Some people have no sense of decency 
14038,disgusted,Not at all Someone left a dirty diaper in the sink
14078,angry,Ouch thats rough Maybe she just isnt ready 
14079,angry,Do you have any proof If so you should bring it up to her
14080,angry,I think she is secretly cheating on me 
14081,angry,She has been quite demanding lately she wants to eat out in the most expensive resturants she wants the most expensive cloths and jewelleris 
14095,angry,If it wasnt your fault then what caused you to lose
14096,angry,Multiplayer games can be fun but thats certainly a downfall to them
14097,angry,My stupid teammates all left the game I was doing really well but couldnt win by myself
14128,annoyed,What was she doing
14129,annoyed,There is a lot of that type of behavior now Its like people have lost their minds
14130,annoyed,She was on her bluetooth screaming to the person she was talking to So rude
14137,angry,Oh yea Ive had it happen a few times Its even worse when they lose the package for a while
14138,angry,I dont blame you I try to keep tabs on them because I dont trust they will be delivered in time I also set up a camera to catch deliveries that dont deliver 
14139,angry,Yes Thats why I have to stay on top of the package tracking because you never know when something could go wrong
14140,angry,Thats a smart idea Hopefully I dont encounter issues like this again in the future
14171,angry,What were you expected to be served
14172,angry,So how did you handle it
14173,angry,chicken breast and some fries
14174,angry,I left and went to the next eatry
14200,angry,OK why would you in the first place
14201,angry,Well you played hard But did you work hard
14202,angry,Because I have spent 40000USD so far on your tuition and living expenses
14203,angry,Young man dont patronize me I work for the money not you
14222,disgusted,Whoa What was in that burrito
14223,disgusted,Wow thats a food challenge type of thing Did they get anything out of it
14224,disgusted,It was filled with only refried beans and guacamole  It was the grossest thing I have seen
14269,annoyed,Oh no I hope your toe is feeling better
14270,annoyed,Luckily it will heal soon and you can feel back to normal
14271,annoyed,yea i was quited ticked off tho
14306,disgusted,Im sorry to hear about that  I hope you both can find a way to work things out with each other
14307,disgusted,Oh thats too bad  Well then I hope you can find happiness again in the future  Good luck to you
14308,disgusted,There is no fixing buddy in my religion once a woman cheats she is not desirable anymore 
14319,annoyed,That is disgusting You must talk to him about this
14320,annoyed,Incredible kick him out of the house
14321,annoyed,I have it doesnt work  He is just so lazy
14389,disgusted,That has got to be hard on the poor guy Did you offer any help
14390,disgusted,I see Well hes probably still there
14391,disgusted,Well he was asleep at the time so I didnt want to disturb him
14392,disgusted,Most likely I like the someone elses problem approach Im sure someone knows about his situation
14399,angry,Oh my I hate when that happens It makes me so angry
14400,angry,I would be too some people shouldnt be driving 
14401,angry,yea i got so frustrated
14402,angry,oh yea why is that
14403,angry,oh wow thats so stupid of him
14404,angry,Because he crashed it and totaled it I am so angry with him
14423,disgusted,I would be really frustrated with that as well Did you exchange the colors
14424,disgusted,Well it sounds like shes listening to you at least
14425,disgusted,She promised to go and do that since she realizes how i feel 
14426,disgusted,I think she still loves me regardless thats why
14436,annoyed,He should be understanding of that and not keep on Thats just frustrating for everyone involved
14437,annoyed,Sounds very immature if you ask me
14438,annoyed,I wish he was more understanding But sometimes he seems to miss some obvious facts
14515,angry,That is so aggravating I am sorry to hear this happened to you
14516,angry,Call the police I hope you nab these guys and put them in jail
14517,angry,It is Of course fixing it is so expensive I dont know what to do
14518,angry,That sounds horrible Are you trying to motivate them
14519,angry,I can understand the feeling I always feel ignored
14520,angry,Yes but it is making me livid that they are not listening to my instructions
14529,annoyed,I know that feeling Maturity I suppose
14530,annoyed,Its that feeling you have to live with for now Lol
14531,annoyed,Perhaps so but I wish he would just be quiet and stop pestering me
14583,angry,I agree I dislike Tuesdays because they are so far from Friday
14584,angry,I would have been too You should have just slept all day
14585,angry,thats why i was mad
14600,angry,what did
14601,angry,oh no was the argument bad are you still friends
14602,angry,I was trying to settle a score him and his girl friend then I mentioned her qualities while trying to convince him
14606,angry,Sorry about thatI know how it feelsespecially with the family concerns
14607,angry,Please never stay idle fix yourself anywhere I mean somewhere
14608,angry,yes i just want to be able to feed my kids
14615,disgusted,That sounds aggravating Did you say anything to her
14616,disgusted,Thats okay you should call the police next time
14617,disgusted,No I had no idea what to say at the time And worried that she might turn on me
14618,angry,Yeah Tuesday is just the beginning of the week and more to go Is that why
14619,angry,So true
14620,angry,cause its not FRIDAYYYYYYY as oprah would say
14631,disgusted,Eww that must have so disgusting You should report this to the FDA
14632,disgusted,Oh I see try and avoid expired food next time
14633,disgusted,haha  Nah I just threw it away  It almost made me sick  It was my fault though since it was a little expired 
14634,disgusted,Haha you got it D
14641,angry,time to lay the smack down
14642,angry,yea i can believe it but it makes you feel better
14643,angry,Would you believe that doesnt work they still dont listen
14644,annoyed,what you were in the toilet and they were trying to get in whut i am so confused why would they do that
14645,annoyed,that is really weird I would be so stunned if that was happening to me and its not like theres only one toilet on a plane usually so wtf was she still there when you got out
14646,annoyed,Yes I was in the toilet She was wanted to get in
14749,annoyed,I am sorry to hear that  Do you have any meds that could help relieve the pain
14750,annoyed,Maybe you should rethink going to the dentist if youre in so much pain
14751,annoyed,I took some but they didnt do a thing Of course just what I need
14786,angry,oh no were you hurt
14787,angry,true that stay safe
14788,angry,No fortunately I just had to slam on the breaks very annoying though
14798,angry,Oh god how so what happened 
14799,angry,Sounds like florida ugh 
14800,angry,Well we were just driving on the highway and he cut into my lane with just barely enough room
14828,annoyed,Did the check end up hitting in time
14829,annoyed,I would be too ugh that sucks 
14830,annoyed,IT did but when I got back to the website both pairs were sold out I was so upset
14831,annoyed,She really wanted them too Now I have to find something else and school is about to start
14857,disgusted,Oh wow how was that I have never had Taco Bell breakfast
14858,disgusted,Oh really I can understand I usually regret eating Taco Bell Especially after the digestive process
14859,disgusted,It was terrible and expensive
14860,disgusted,I havent had their tacos in years I dont know why I went lol
14887,angry,why did it upset you
14888,angry,What kind of plans did you have going on
14889,angry,cause it ruined my plans
14910,angry,I would be mad too What happened
14911,angry,How long before you get what is owed to you
14912,angry,a payroll error
15032,disgusted,did you intervene
15033,disgusted,that is awful
15034,disgusted,Yes I pulled over and it was too late The dog was bleeding bad
15035,disgusted,I know it was too late The guy ran off
15036,disgusted,That does not sound good to me either I cannot stand pineapple
15037,disgusted,I think it is too acidic for me
15038,disgusted,I like it by itself but not on pizza Thats so gross
15054,angry,Probably ate it or threw it away
15055,angry,Yeah I can You ought to put some laxatives in it for next time and see how much they like it then
15056,angry,Someone ate part of my lunch Can you believe that It made me so mad
15067,angry,What food was it
15068,angry,I do like that as well
15069,angry,Mexican
15070,angry,I know right Especially fajitas 
15077,annoyed,They are always busy
15078,annoyed,I do hate to wait as well
15079,annoyed,It really bugged me it took so long
15175,annoyed,I am sorry to hear
15176,annoyed,I can understand that You sound like a good friend
15177,annoyed,We have I got over it but at the time it was painful
15178,angry,Oh no I am so sorry to hear that Does your mom know
15179,angry,I am so sorry that your family is going through this horrible time Is your dad unwilling to end the affair
15180,angry,Yeah she is the one that told me Apparently she managed to make him break it off finally
15206,annoyed,Oh yeah what happened
15207,annoyed,That is the worst Ive had that happen to me before
15208,annoyed,Kid half way through the flight started to kick on my seat
15215,angry,I hate that did you ask them to stop
15216,angry,That isnt good sorry
15217,angry,the owners dont care they said yes they will keep the dog inside but never do
15224,angry,That would really upset me How are you going to get to work
15225,angry,Can you take an uber
15226,angry,I dunno all my friends are busy and no one is even answering the phone at work
15227,angry,Uber doesnt work around my area sadly
15356,angry,what do you mean by 5
15357,angry,Ha Ha  Thats ok  Uggthat had to be annoying  Is he just a puppy
15358,angry,Sorry  my keyboard was malfunctioning I meant to tell you about the time my dog pooped on my carpet I was so mad
15362,angry,Thats awful
15363,angry,I would have been angry too is it cleanable
15364,angry,It is I spent all my winnings on it after pouring 500000 down the shame I was so angry
15365,disgusted,Thats terrible How did it feel when it happened Were you mad
15366,disgusted,I would be too Hopefully you channeled your rage to let him know who is king of the road
15367,disgusted,I was terrified and so angry
15377,annoyed,Thats too bad What was supposed to be coming in the mail
15378,annoyed,Well thats good I hope whatever it is youre waiting for improves your life
15379,annoyed,Yes  I am hoping it will be here tomorrow
15398,annoyed,How did you feel
15399,annoyed,What kind of car was it
15400,annoyed,I was quite annoyed especially because it was unnecessary too
15431,annoyed,That sucks I hate when my games are interrupted for any reason
15432,annoyed,Oh no You should invest in something new
15433,annoyed,Me too it sucks when the screen starts to tear
15597,angry,I call my sister that all the time 
15598,angry,OH Im sorry We do that to each other I  didnt know she hurt your feelings
15599,angry,To be funny or what Because I think its really rude and unforgiveable 
15607,annoyed,What did she do
15608,annoyed,Have you told her not to do that
15609,annoyed,She only wants to talk to me when Im on the phone with someone Its so rude
15610,annoyed,OF course I have
15614,disgusted,Oh no thats the worst to spend time cooking something and then taking a bite and its awful
15615,disgusted,Ive done it before so I feel your pain
15616,disgusted,I could have gotten sick It was so disgusting
15636,angry,You know thinking about it I dont think Ive ever had a honey bun
15637,angry,Wow that sucks I bet you are so disappointed
15638,angry,OMG Actually I didnt have any yesterday and they are all gone My kids are the worst
15639,angry,I was ready for one about 5 minutes ago I havent stopped frowning yet
15640,annoyed,What kind of list is that Are you bringing them some Christmas cookies
15641,annoyed,Oh so maybe you will leave some coal on their doorstep instead They should be more considerate
15642,annoyed,The naughty list They are putting up pictures and moving furniture at midnight every night RUDE
15643,annoyed,They should
15685,disgusted,No thats a little too expensive for me
15686,disgusted,Its snails isnt it Why would anyone want to eat that is beyond me
15687,disgusted,I had it one a cruise once Dont waste your money Its gross
15688,disgusted,I was just doing what everyone else was doing
15716,annoyed,Did you clean it again
15717,annoyed,That was nice of them
15718,annoyed,Yeah I was really ticked off but luckily the car wash said I can get another wash for free That made me feel better
15760,annoyed,Did you try taken him to a specialist to help with that
15761,annoyed,Did you try closing your room
15762,annoyed,Nope but I really should It constantly keeps me from getting anything done and if I put him in another room he just meows really loudly
15763,annoyed,Rainy days are boring but I do like the sound of them Its calming in a way
15764,annoyed,Yea it is better in moderation Thats true
15765,annoyed,I dont like too much rainy days
15861,annoyed,Im sure theyre not  what makes you think that
15862,annoyed,Perhaps next time the bill arrives say something like ok so thats 25 each and take out 25 and put it on the table They may take the hint
15863,annoyed,They never pay for anything and always look to me when the bill comes
15888,angry,That would be annoying  How about meeting up with a friend or something
15889,angry,I’m sorry What are you going to do
15890,angry,I am so mad my husband wont stop playing his video game
15891,angry,That is a great idea after all its been like a week of non stop gaming
15997,angry,Thats nice of you do you usually let her go out
15998,angry,My parents usually did that do If I dont do the chores around the house I dont get to head out
15999,angry,I do But she left her rooma a mess so she wont be going out for a while now
16000,angry,She is in big trouble now
16053,annoyed,That is no good  What are they doing
16054,annoyed,That is annoying  Have you thought about talking to them
16055,annoyed,They have been playing loud music all day
16056,annoyed,They just moved in so I dont know the well Im scared lol
16070,angry,OH Thats terrible 
16071,angry,What is DiGiorno
16072,angry,I know and it was one of those expensive frozen pizzas too Made my blood boil
16092,disgusted,I had to buy a fruit fly trap this summer as well  But as soon as I set it up they stopped flying around
16093,disgusted,I feel your pain I really do
16094,disgusted,I have sticky traps and keep things cleaned with bleach and lemon I need to put lime in the yard and see if that helps Its like they get in ANY crack everyday So gross 
16116,angry,Thats unfortunate  Especially when theres nothing you can do to stop it
16117,angry,It can be a vicious cycle Ive seen it before
16118,angry,Yep They keep repeating the same bad mistakes to destroy everything anytime anything good happens
16119,angry,Oh man Are they car keys as well
16120,angry,Oh my god Well please get ALL your locks changed The car will be more difficult however hopefully they have no idea where you live so you should be ok
16121,angry,Oh god How did you get in finally did you contact your mom
16122,angry,Yep  and it gets worse   Apparently sometimes people will steal keys  then come back and steal your car after you leave according to the bar tenders  So I got my truck towed home  And no house keys 
16123,angry,Yeah it was super exciting and I wasnt calling my mom she has an extra key to come unlock my house at 3am either so I slept on back porch
16124,angry,Well were talking here now 
16187,angry,I cant stand people who treat animals horribly
16188,angry,I hope you call the cops on them so they can go to jail for animal abuse
16189,angry,They yell at them everytime they go outside for the MINUTES they are out there and they get harassed the whole time until they dont want to get off the porchthen they get yelled at more I rehabilitate dogs from such issuesand this gal is GIVING them complexes
16190,angry,I understand Did you catch some of them in action
16191,angry,That is bad I would have the same feeling if I was in your situation
16192,angry,No they dont do it when I am out there I dont know what to do with how upset I get at picking up everyone elses trash
16199,disgusted,Oh my god I HATE when people do that That stuff can land on someones windshield
16200,disgusted,Wow thats horrible I would have been so pissed
16201,disgusted,Oh lol IT DID On mine It hit our windshield and almost made us get in an accident
16205,annoyed,How come you can sit also
16206,annoyed,That’s too bad
16207,annoyed,He is crazymental illness that is not taken care of and he yells over a lot Even some nasty things The police dont care
16256,annoyed,i freakin  hate that like dude be sad or mad on your own dont take it out on your family friends  or co workers 
16257,annoyed,Exactly great minds think alike  that is always so annoying as hell 
16258,annoyed,WHOA Thats EXACTLY what I say if you want to be miserable finebut I dont want to be so dont take me down with you Do it to yourself
16271,disgusted,Thats disgusting Did you move to another table
16272,disgusted,Thats awful  Some people are disgusting
16273,disgusted,I couldnt finish my lunch I throwed everything in the trash and left
16314,annoyed,Did you tell his parents
16315,annoyed,That must of been no fun hopefully he wont do it again
16316,annoyed,No I couldnt tell who his parents were because the pool was so busy  We just had to deal with him pestering us for about an hour
16364,annoyed,Oh me too Have you ever messed with them
16365,annoyed,That is great
16366,annoyed,I did once keep that scammer on the line for an hour
16376,annoyed,Oh no must be disappointing Are you putting off making it now or will you go in search for the missing mustard
16377,annoyed,Will it taste the same
16378,annoyed,Im going to substitue dijon because its what Ive got
16379,annoyed,It will be close enough
16429,angry,Oh god why did he do that
16430,angry,Bad situations make you things you wouldnt normally sometimes Did you talk to him about it
16431,angry,Cause he was in a bad situation
16569,angry,Insurance companies suck  I hate dealing with them
16570,angry,Theyre trying to not pay if they dont have too    more  in their bank
16571,angry,Yeah it is quite apparent to me that they genuinely do not care
16604,annoyed,Those are so gross
16605,annoyed,Did you put the cat in time out
16606,annoyed,I know I was almost too afraid to pick it to throw it away
16625,disgusted,Sorry to hear  What all did you order  And what was wrong with it
16626,disgusted,Cold fries are the worst bc the potatoes are just gross at that point  Did you get your money back at least
16627,disgusted,Oh bless your heart  Im sorry to hear  Id have returned it and gotten the whole meal free for the cold messed up fries
16628,disgusted,Thats good Hopefully youll be compensated in some way for the fries  Ugh cold fries  Youre way nicer about it than I would have been
16629,disgusted,Everything was cold We had burgers and fries You cant eat cold fries
16630,disgusted,Nope I was starving so I ate it lol
16631,disgusted,Well it was a delivery do we would have had to wait another hour I did complain though
16646,angry,Oh wow  You were pretty angry
16647,angry,I guess you are right
16648,angry,I was indeed But I dont think this tragic incident will occur ever again Sometimes have to show the elderly whos boss
16666,disgusted,Ugh thats the worst  Bright side  at least you werent far from home that you were able to clean everything up right
16667,disgusted,blinks  One I didnt know possums travelled in herds and two I am only hoping your day didnt get worse from there
16668,disgusted,Bless it  And you survived all of that to tell the tale  And all of this over a busted garbage bag  We gotta get you a better brand of garbage bags friend  
16669,disgusted,No my garbage can is 2 miles away The smell was so strong that a herd of possums jumped me on the way back
16670,disgusted,Oh but it did When I was almost thereALMOSTa gaggle of ravenous hobos shanked me Im not sure why but it happened I swear
16688,disgusted,I know the feeling
16689,disgusted,I definitely know that feeling lol
16690,disgusted,Don’t know what I ever saw in him
16763,angry,That is terrible  Did you lose all the food that was in there or were you able to save it
16764,angry,That is so terrible  It would be nice if the refrigerator company had to replace all of your groceries if their product breaks  Did you get a new one yet
16765,angry,I did I had just went grocery shopping We were gone all day and it was 100 degrees today
16766,angry,I will try to find one tomorrow 
16798,annoyed,That makes me mad too
16799,annoyed,People let things get out of hand and it is so unecessary
16800,annoyed,I know right Why cant you just be nice and keep it calm and peaceful No one wants any drama Dont be a jerk is my motto If you cant say nothing nice then keep it to yourself or keep it peaceful
16801,angry,Uh oh Was everything ruined
16802,angry,Oh how disappointing 
16803,angry,We only had popsicles in there But I wanted those popsicles lol
16804,angry,I know
16808,angry,I swear the DMV is the worst
16809,angry,Yeah but the state would never get out of debt if they had to pay the people for missing work just to wait in inefficient lines at the DMV
16810,angry,You know it  They should have to pay me for the work I missed
16819,disgusted,Lol Thats gross
16820,disgusted,I wouldnt either She should find another job lol
16821,disgusted,Youre  telling me It was absolutely revolting I am never going to let her live that down
16835,angry,Oh darn that is stressful I bet
16836,angry,Thats no good How does that happen
16837,angry,I have lost every single one I have ever had
16838,angry,I have no earthly idea
16906,disgusted,Oh wow that is disgusting
16907,disgusted,What are you going to do
16908,disgusted,Oh it was I afraid for my well being
16912,angry,Thats a bummer Did you get it repaired
16913,angry,Well thats good At least everything turned out okay in the end
16914,angry,I did after a few hours
16964,angry,You need to speak up next time
16965,angry,Good thats what needed to happen
16966,angry,I spoke up and was very angry
17027,angry,Sometimes sibling rivalry dies hard  even when youve well outgrown it Are yall far apart in age
17028,angry,I love your heart Thats important Are you a brother or a sister to them
17029,angry,Please do Sometimes it takes time to mature on an emotional level Its cool that you have that on them 
17030,angry,I have one thats four years old than me and one thats eight years older than me They do like to gang up on me especially since its easier just because Im a lot less further along in life than they are because of age They really can be tough But I feel like its important to stay close to family
17031,angry,Im a brother to them And thank you for the compliment Ill just try to stay positive
17035,disgusted,That is nasty What are you going to do
17036,disgusted,I am with you 
17037,disgusted,Im thinking about hiring an exterminator I cant gave vermin like that running amok around my house
17092,disgusted,how did it go congrats btw
17093,disgusted,hah  it gets better
17094,disgusted,It was pretty darn gross Thought I was going to vomit
17205,annoyed,Im sorry to hear that Sometimes kids dont know how to interact well with each other But its an important part of the socializing part of life that they work their way through it All you can do is tell them how to respectfully and appropriately respond and defend themselves
17206,annoyed,Ah so its that kind of situation Yeah it can be one thing if its just something where kids are acting like kids and you cant physically intervene in time But its another if you think its neglect and that theyre not responding appropriately to the situation I would trust your judgment I hope everything ends well with it though Im sure you gave your child lots of love afterward
17207,annoyed,I didnt do that  I yelled at the teacher until I got tired then I left  I dont think Ill send my son back there
17208,angry,It happens even when we study hard sometimes
17209,angry,true Life is full of learning I am glad you have learned something from it so many dont Kudos
17210,angry,I know at least I learned from it
17250,disgusted,Oh gross What restaurant
17251,disgusted,I would blast them on social media That is not good especially for them not to take responsibility for it
17252,disgusted,It was a nearby pho place Im not going there again
17260,disgusted,Wow I hope it was a clean diaper
17261,disgusted,Who knew a diaper would be so terrifying
17262,disgusted,Nope  It was horrifying  It changed everything for me
17368,angry,I am sorry roommates can be annoying sometimes
17369,angry,I will not either
17370,angry,Not a roomate lolbut yes Thats how life works though If you want things and luxuries they cost money Ill never understand entitled people
17396,annoyed,Dont be too hard on yourself You taught yourself a lesson for next time
17397,annoyed,Im in college I understand Just have to keep pushing forward and youll so great
17398,annoyed,Yeah I will do better next time for sure
17399,disgusted,Oh no  I have experienced that before and its not pleasant  Its hard to be kind and careful with your speech and actions when youre near a snob
17400,disgusted,Seriously  I just keep thinking that they are a person just like me and it doesnt always means they are better than me just because they are entitled  As they say everyone puts their pants on one leg at a time
17401,disgusted,Oh manSO TRUE It really makes me want to be nasty Behaving like a dictator is not acceptable from even a dictator
17402,annoyed,Ugh So you have corrupt police officers in your town too That is a bummer
17403,annoyed,I would too Most officers dont show up for that
17404,annoyed,Yes  Im a great driver with a perfect record but did I get a warning  No  I got a ticket but Im going to contest it in court  
17435,annoyed,That is terrible
17436,annoyed,Police here do that sometimes It sucks
17437,annoyed,I know right I cant wait to move Seems like I cant ever go walking at night without them rolling up as if they dont have a million other things to do
17461,angry,Oh no what happened
17462,angry,You should check if they raised your rates unexpectedly or maybe something you bought is eating up a lot of electricity
17463,angry,I have no idea i am so mad
