,emotion,labels_clean
8367,sad,Oh no do you at least have food
8368,sad,Ramen is delicious I eat them even when Im not worrying about money
8369,sad,Yeah  I have some raman  Thats all anyone really needs right
8376,lonely,I can imagine Take this time to do something for yourself
8377,lonely,There you go Sounds like fun
8378,lonely,Yea Think Im finally gonna watch some horrors that my family are too afraid to watch
8505,sad,Me too I love summer weather and vibes so much
8506,sad,I know the free time is the best You can do whatever you want whenever
8507,sad,The fall weather is nice but there is so much more free time in summer I miss it every time it leaves
8508,sad,now school is about to start I just want to die
8540,lonely,I feel you my brother is my roommate and my friend too 
8541,lonely,That sucks why did she move out
8542,lonely,Now I keep getting random neighbors who get evicted after two months
8543,lonely,Her husband lost his job and they couldnt afford it
8608,lonely,I bet you find someone soon
8609,lonely,I have been there too it will get better
8610,lonely,Thanks but its so discouraging seeing happy couples everywhere
8645,lonely,Who did you invite
8646,lonely,Where was the party
8647,lonely,I didnt invite anyone in particular but it was a message to everyone on my followers list 
8648,sad,October I thought most Call of Duty games come out in November
8649,sad,It will be October as soon as you know it trust me Hopefully they release a beta so we can play it earlier
8650,sad,I know right October 12th I just pre ordered it Im sad because its still so far away
8651,sad,The beta is next moth august so maybe Ikk see you there
8670,sad,I know you will be great in the end
8671,sad,People do that sometimes and it is really sad
8672,sad,Thanks it was so weird because she showed signs of interest But she gave me the Nope
8698,sad,You can always give them some money once you get yourself back on your feet Just keep your head up  things will get better
8699,sad,If I ever meet you I will toss a few bucks your way We all have to help each other out in this tough world
8700,sad,Thank you I always try to give them a few coins here and there Maybe even a few bucks
8775,sad,How did that experience go
8776,sad,Im very glad and I understand how the memories are
8777,sad,It went well but I am gonna miss that farm house We have a lot of memories of that ole place
8784,sad,What can you lose
8785,sad,You do I mean it can only go one of two ways And if it goes one way you can try again with another girl
8786,sad,Probably nothing but its still hard to go through with it I need to man up
8791,sad,That happened to me too when I was in elementary school I lost all my friends and had to make new ones which sucks
8792,sad,I agree
8793,sad,It is really tough at that age too
8827,lonely,Really Thats one of the saddest things Ive heard in a while Im sorry to hear that What happened to your family if you dont mind me asking
8828,lonely,I am terribly sorry to hear that Youve got to be really resilient to deal with that Maybe you could volunteer at a soup kitchen during Thanksgiving so you could have a chance to be around others
8829,lonely,They all died when i was much younger
8852,lonely,Why dont you move back
8853,lonely,Can you make new friends where you are now
8854,lonely,Its better for my kids and its so expensive
8855,lonely,The people out here arent that friendly I cant win
8872,sad,Oh no Did it ever come back
8873,sad,That sucks MY sisters dog used to roam the neighborhood a lot and one day he didnt come back either His name was Oreo I told my daughter he got married
8874,sad,No I assume he died
8879,sad,Awwww  i can relate to that  I am so sorry
8880,sad,I am very sorry to hear that
8881,sad,Yes she died of lung cancer
8892,lonely,You may have more than you know but sometimes meeting new people will give you the fresh start you need
8893,lonely,Neighbors coworkers  Try and get involved in local sports or comunity groups  How about volunteering  That is a good way to meet people that are positive
8894,lonely,Where do I go to meet them
8912,sad,Im sorry to hear that Why do you think that is Is it a painful or happy memory
8913,sad,I can understand that That does sound like a difficult thing to deal with Hopefully you have a lot of nice memories you can look back on to remember her by
8914,sad,I am just sad she isnt alive anymore
8924,lonely,Dang thats rough Like a doubledose of sadness My girlfriend and I are long distance so I know how that goes Is there any way you can still keep in touch with them
8925,lonely,Yeah she and I dont use social media but I can imagine thatd be really helpful in your case Well Im glad you at least have that And maybe it will open up the possibility for you to meet new people too
8926,lonely,Well we dont like unnecessary attention and we dont like talking about ourselves We just like skyping between each other and thats it And talking on the phone of course
8927,lonely,Oh yeah knowing that they left for positive reasons and having social media to keep in contact helps a lot
8928,lonely,How come you guys dont use social media I guess I kind of get it but I feel in your case it could be a huge positive
8929,lonely,Well thats good Skype is actually even better than having to deal with all the extra nastiness of social media
8933,lonely,That is a little daunting  Have you considered joining some groups with likeminded individuals
8934,lonely,Check with your community center
8935,lonely,Yes but I do not know where to go
8952,sad,That is so sad Did the kitten die I hope not
8953,sad,Oh I hope it was ok I understand you not being able to stop
8954,sad,I am not sure as I could not stop because of all the traffic
9009,sad,That is rough news  How long
9010,sad,That is hard  I am so sorry
9011,sad,A year I cant even visit
9041,lonely,What does he do for work
9042,lonely,Well you could always pick up a new hobby What is something youve always wanted to learn
9043,lonely,He builds computers He will be gone for 2 months I dont know what to do
9096,sad,Yes when I was little
9097,sad,I also had a dog did you find your dog
9098,sad,My dog ran away today What kind of pet did you have as a kid
9099,sad,Unfortunately I did not What do you think I should do
9139,lonely,Do you enjoy your free time or are you sad
9140,lonely,Im sorry to hear that
9141,lonely,I am sad most of the time when they are gone
9145,sad,Did you get sleepy while studying
9146,sad,i would have fallen asleep for sure
9147,sad,I had lots of coffee so I did not I was very focused on studying
9151,lonely,That is understandable  You need to let it happen naturally Be with your friends and find yourself
9152,lonely,I understand  It will happen for you if you keep an open mind and dont rush
9153,lonely,thank you I appreciate that I just yearn for that company too you know
9211,lonely,ok you going to your family
9212,lonely,no
9213,lonely,Yes you see my family lives across the country from me
9270,sad,Oh no Thats sad What was wrong
9271,sad,Im sorry That must have been hard
9272,sad,She was really old and getting really ucomfortable
9320,lonely,Cool What are you going to do
9321,lonely,Well thats good if its quiet
9322,lonely,Some work and some reading
9346,sad,why
9347,sad,ok
9348,sad,It was fun I liked my coworkers And I got good discounts on clothes
9349,sad,I dont like shopping in that store anymore now
9445,sad,Yeah Im sorry to hear that Are you looking for someone else Does that sound sleazy lol
9446,sad,Oh dear Maybe you dont need a man  Im one and can confirm that they are messy noisy and rude
9447,sad,It sure can
9448,sad,DEfinitely
9449,sad,I am looking but its not going well 
9450,sad,I know all of those things lol Just alone every day can get to you
9451,sad,It will happen eventualy
9513,sad,I havent seen it but I know a lot of people like it 
9514,sad,Sounds good were you said throughout the series or because of an ending
9515,sad,I appreciate that I wish I had watched it so you could talk more about it 
9516,sad,Yeah  its a bit like an old HBO show called Oz
9517,sad,Because of an ending  I dont want to spoil it for you though
9521,sad,Im sorry to hear that Are you OK
9522,sad,Oh man Thats so sad
9523,sad,I am so hurt right now
9533,lonely,Why do you think you often feel that way
9534,lonely,Do you have any friends around that area
9535,lonely,I live alone and my family live far away
9643,sad,Thats terrible will you be able to stay in school
9644,sad,Well I hope you do better this year
9645,sad,Yeah just the hustle of having to repeat all the units i failed
9690,sad,That makes me so sad Why is that so
9691,sad,yes that can be a huge problem Im so sorry youre having to go through that
9692,sad,Of course Ive felt sad for many reasons Things that happen in the world make me sad
9693,sad,What makes me sad is hunger in the world I cannot stand people suffering
9694,sad,I have to be away and I am not able to play with my son
9695,sad,NO problemHAve you ever fell sad
9696,sad,Do you recall something that makes you really sad
9729,lonely,Do you want to do something special today
9730,lonely,you can read something
9731,lonely,No I feel sick and stayed in hostel I miss my mom today
9803,sad,Who did And Im sorry to hear that
9804,sad,I am sorry for your loss 
9805,sad,A Bossom friend 
9806,sad,Thanks Well thats the way  life goes
9995,sad,I am so sorry to hear that
9996,sad,I unsderstand that entirely
9997,sad,I cant get over bad I feel
9998,lonely,Ive been there it can really suck to be lonely  It sounds like youre doing better though 
9999,lonely,Im glad to hear it  Its great to have found someone
10000,lonely,I am I am so happy that is the case
10025,lonely,hi thats sad have you tried looking for facebook events like local events i bet you can meet people there
10026,lonely,You can always talk to me im here for you
10027,lonely,I have but no one wants to meet me I sit in my room by myself on weekends
10043,sad,im sorry to hear that i hate when my wife and i argue are you feeling any better did you have a chance to talk to your husband after that
10044,sad,i hope everything will go back to normal asap and i hope he will apologize for making you feel small
10045,sad,He woke this morning not saying anything but I know its got to be on his mind  Mostly we just keep to ourselves until one of us speaks about something off the conversation then we slowly ease back into being the same  Im feeling a little better  I know he doesnt mean the things he says
10046,sad,Awwwwe thank you for listening  Sometimes it just feels better to get it out  Im sure I will be alright  Got my big girl panties on here  LOL  Besides after being together 13 years  Were bound to argue at some point in time
10056,sad,did you drink a lot back then 
10057,sad,i am glad you are in a better place now
10058,sad,I have never been an alcoholic but I never drank that much
10106,sad,Oh man so sorry dude Hope your coping
10107,sad,Why did she break up with you Was it a long term relationship 
10108,sad,Thanks I am trying I am just very upset
10145,sad,Its alright maybe its a working day and she has a surprise for you on saturday
10146,sad,Did you check everywhere in the room maybe she has a surprise  gift hidden somewhere for you to find out
10147,sad,Yea maybe but I am still upset She did not even wish my happy birthday
10193,lonely,That sucks  Its the same for me only its because we recently moved and I dont know anyone outside of work yet
10194,lonely,Ouch  Were you too busy to go with them
10195,lonely,Wife and kids went to see family and my friends went hunting without me
10199,sad,I know that was the case for many I am sorry that impacted you 
10200,sad,Many people did he was a likeable fellow
10201,sad,i use to follow him since i was a kid
10205,sad,That makes me sad to hear  Do you have lots of friends now
10206,sad,I think it is better to a few really good friends than a lot of acquaintances
10207,sad,Not a lot but I have a good group of a few friends so that is nice
10302,sad,I am very sorry for your loss
10303,sad,A loss is never easy especially one in the family
10304,sad,Thank you  It was a long time ago but I still think about her a lot  She had a big impact on my life
10334,lonely,Is it something you enjoy 
10335,lonely,I know we are all different but maybe getting another puppy would help 
10336,lonely,Well my dog just passed away so now its just me I am having a hard time getting used to it
10377,lonely,I would enjoy the peace and quiet  Kick back relax and do whatever you want
10378,lonely,Well in that case I hope they come home soon  My family is just annoying mostly
10379,lonely,Its just not the same without them around I miss them
10416,lonely,Oh Im sorry to hear that The only thing that helps is time unfortunately
10417,lonely,After some time passes though youll wonder why you were so sad
10418,lonely,Indeed I think time is the only heal to emotional wounds
10461,sad,I am sorry to hear that I know that would be hard
10462,sad,I hope things get better for you
10463,sad,My family is supportive but I still feel bad
10488,lonely,That sucks but being lonely can sometimes help you discover new hobbies
10489,lonely,Yes your happiness doesnt depend on nobody else
10490,lonely,It was horrible and boring but Im hoping to take up a hobby soon so I can have something to do when hes away
10608,sad,That is really sad Many people I grew up with have passed from overdose Its tragic
10609,sad,I dont believe it is either Im so sorry to hear about your friend
10610,sad,I agree I thought the war on drugs was meant to combat or maybe even make ground against this I dont think it is working 
10831,sad,That would be tough Have you found a support group to go too
10832,sad,That would be difficult I cant imagine the pain you must be going through Sounds like yall have good memories together
10833,sad,That sounds like a great gandma You are so blessed to have those memories with her
10834,sad,My mom thinks that her grandmas spirit is in me because she died right before I was born
10835,sad,No it isnt that bad Its just grief of losing my grandmother She was 93 and lived a very full and exciting life Its just hard to know she is no longer here 
10836,sad,We did She always had her own garden and taught me all kinds of skills related to farming preparing and canning food She was an awesome person 
10837,sad,Thanks I agree I will miss her but I will always have her spirit with me 
10851,lonely,Whats wrong Did anything happen Have you reached out to any friends lately
10852,lonely,Aw man Im sorry That sounds rough I know how you feel Time usually helps but its pretty gradual Hang in there
10853,lonely,My wife left me a month agoMy friends are trying to help mebut its not working
10951,lonely,That sucks Maybe you can find yourself a new hobby that will keep you occupied while hes gone
10952,lonely,Thats understandable Id probably feel the same way in the same situation
10953,lonely,I mostly just have been baking and reading relaxing and just having some me time but I just miss him haha 
10957,lonely,So you guys probably dont get along very well
10958,lonely,Does the wife hate you
10959,lonely,We havent talked in awhile but I think thats because of his soon to be wife Ive never felt so alone without my family
11029,sad,Oh no I am sorry to hear that Is she feeling any better
11030,sad,That must have been unpleasant for her I am glad to hear that she is feeling better
11031,sad,Shes a lot better now at least can eat solid foods before it was only yogurt and soups she could swallow I was doing her injections twice a day
11062,sad,Thats a downer man Who do you think was the perpetrator
11063,sad,That really sucks man Did he ever apologize to you and give the money back
11064,sad,It was the guy I thought was my best friend I was so devastated I didnt care about the money but the fact he would stead from me 
11130,sad,Oh no I am so sorry to hear that That must be so hard How have you been coping
11131,sad,Oh wow that is so sad Have you contacted an attorney
11132,sad,One step at a time basically I hate he couldnt get a good doctor but that was the best the VA could do
11133,sad,No they covered their butts really well with paperwork It wasnt worth it sadly 
11252,lonely,Im sorry to hear that Ive felt similar before
11253,lonely,Did they every tell you why they left without you
11254,lonely,Yeah I was pretty miserable until they got home but then I felt much better
11255,sad,Im so sorry to hear that I lost my cat recently too 
11256,sad,Thats a great name  My cats name was Midnight I had him it seemed forever How long did you have yours
11257,sad,His name was Sylvestre what was your cats name
11258,sad,I had him for just 2 years he was a baby 
11284,sad,Oh wow I am so sorry to hear that May I ask what happened
11285,sad,Oh well Im sure she was worried but disowning you doesnt help And now she wont know your child Thats very sad 
11286,sad,Well she was upset at me for running away and having a baby as a teen
11392,lonely,Im sorry to hear that  What do they get treatment for
11393,lonely,Im sure thats really tough  I hope he appreciates all that youre doing for him and Im sure itll work out 
11394,lonely,Oh he just has a lot of trauma from childhood and he takes a lot out on me so he has to get help in order for anything to continue between us
11395,lonely,Thank you You are so sweet I hope so too 
11441,lonely,Leaving you why
11442,lonely,OK now I understand
11443,lonely,She is starting school Im going to be all alone
11444,lonely,She is too young to leave the state but she is an adult
11473,sad,I have seen them
11474,sad,I am not sure I believe them most of the time though
11475,sad,I watched on last night It mafe me so sad
11476,sad,Really That seems like a lot
11480,sad,I am sorry how old was it
11481,sad,That is a lot of memories
11482,sad,I had him for 15 years
11483,sad,Indeed it is Its been many years     Do you have any pets
11492,sad,yes I do Do you
11493,sad,Is that a good or a bad thing
11494,sad,No not anymore
11495,sad,Bad at first but good to find someone better its hard to find someone though
11532,lonely,having a few good friends or even one is better then having a bunch of fake ones It is hard to make friends as an adult that are true friends even if you are great at it So dont feel bad
11533,lonely,I understand I used to be the social butterfly but now after a lot of trauma I am very anxious as well and I dont care to have people I dont trust around me anyhow Maybe try meetups or forums where people have the same interests
11534,lonely,thank you for your support I have a really good friend but he lives in a different state so we dont see each other that often
11581,sad,Death can happen in an INSTANT I have been there the past year I am sorry
11582,sad,Me too So sorry Life doesnt get any easier Its just about trying to enjoy every day
11583,sad,Yeah I have experience a lot of that recently
11679,sad,Oh man I am so sorry You must be devastated
11680,sad,Oh manI just had someone go through that It is horrifying Yes a long battle can be good or bad I am sorry
11681,sad,Yeah its pretty bad She had cancer and they didnt see it late  Atleast it was pretty fast
11682,sad,She went to the hospital and the whole thing start to finish was under a month  They did a week of chemo and it didnt work
11704,sad,I feel the same I hate apple products I refuse to use them
11705,sad,I didnt know that Another reason to not like them
11706,sad,and everything the release they claim tis groundbreaking wile other phones had the same features for eyars
11744,lonely,Oh thats a bummer Do you go to college locally
11745,lonely,Oh great I am not a big fan of college anyway Maybe you will find a new love while they are away 
11746,lonely,I dont Im working right now because Im not sure what I want to major in
11756,sad,Thats unfortunate How many animals did you have
11757,sad,What kind of animals were they
11758,sad,I had 2 I had them for years It really sucked but we tried for almost 2 years and her allergies were insanely bad to the point of hospital visits 
11759,lonely,ugh for the better or worst How are you feeling 
11760,lonely,If you are feeling that way then it probably is On to a fresh start 
11761,lonely,A pretty big mix  Its probably best its over
11762,lonely,Indeed time to get back into the dating scene
11777,sad,That is so sad  I would be so mad at the drunk driver  How could he live with himself
11778,sad,I agree  There is no excuse for that to have happened  Such a tragedy
11779,sad,Who knows I hope he gets the book thrown at him
11811,sad,What happened
11812,sad,Im sorry you must miss them a lot if you dont see them as much as you used to
11813,sad,She moved all the way across the city I hardly see my neice anymore
11814,sad,Yes I do My niece Not my sister lol
11858,lonely,That seems like itd be strange
11859,lonely,well you could always have left
11860,lonely,Yeah it was weird When I joined it said 325 people but when I got in it there was no one 
11883,sad,Sorry to hear that Whats wrong
11884,sad,I know that feeling it will get better Just gotta stay positive
11885,sad,Finances mostly stressing me out
11946,sad,That sucks I love my mom so much I cant imagine her being dead
11947,sad,I will def do that I need to be more grateful for while she is alive Thank you for that
11948,sad,I am sure you already do but just spoil her a lot and always let her know you care I wish I had more time to do all of those things for her 
11998,lonely,Wow they dont sound like good friends to me 
11999,lonely,You should give them the cold shoulder next time you see them Thats what I would do
12000,lonely,Yeah it made me feel really bad especially since im new to the area 
12063,lonely,How long are we talking about 
12064,lonely,Sounds like you know what to do
12065,lonely,A couple years I think its mainly my fault though for not putting myself out there
12196,lonely,Me too I feel you bro Its ok at least make sure you are being productive
12197,lonely,Try joining clubs or finding hobbies Or you can always make friends on online video games
12198,lonely,I do But I dont have any friends out here
12199,lonely,I have plenty of online friends I didnt count them lol
12467,sad,Thats tough its good he has a friend like you to help him out though
12468,sad,Its good you have a close friend to count on too if needed
12469,sad,Yea it happens Hes been there for me too
12501,lonely,Im so sorry I know the feeling Im really sorry
12502,lonely,Yes I grew up with him and he got me through my parents splitting up and everything cause I didnt have many friends I know everyone always says dont get another one too soon but for both my cats that passed and my dog doing that really is what got me out of the rut 
12503,lonely,Its ok Not your fault So you have lost one too
12528,lonely,I am sorry why did you break up
12529,lonely,That is not fun sorry to hear that
12530,lonely,We were just growing apart too much
12579,lonely,People come into our lives for a reason sometimes
12580,lonely,Im glad they were for positive reasons for you
12581,lonely,That is true we just never know why
12633,lonely,When did you meet them
12634,lonely,Nice How long have you all been together
12635,lonely,In high school and college
12660,lonely,i like alone time
12661,lonely,i think its good to find a healthy balance between being alone and being social
12662,lonely,I used to like alone time but now not so much
12666,sad,Why not You only live once get out Make the most out of every day
12667,sad,Sorry to hear that How did you meet your lady friend
12668,sad,That is true I was just depressed
12690,lonely,Im sorry to hear that Is there anyone around in your life
12691,lonely,Thats horrible I hope youre trying to do some fun things to take your mind off the pain
12692,lonely,My wife left me after 15 years together
12736,sad,Thats always disappointing What were you wanting to buy
12737,sad,Thats too bad
12738,sad,There were breats on sale They are rarely that cheap
12972,sad,That is really a shame  Too bad they wont get help for the kids
12973,sad,You would think they would be motivated to keep their kids
12974,sad,I think theyll be forced to eventually Theyve already had the department of social services involved but they always end up getting the children back At some point reality is really going to set in and theyll lose their children
12975,sad,That is so disappointing Will you stay there
12976,sad,Thats too bad Maybe explore some other options and see how you feel
12977,sad,Im not sure Im so depressed that I dont know what to do now
13132,sad,Im sorry to hear that
13133,sad,It will get better I know that is a tough thing
13134,sad,Thank you I hope I feel better soon
13178,lonely,Did you move to the country
13179,lonely,Well you have to be safe
13180,lonely,Then you definitely have to be dafe
13181,lonely,Of course lol
13182,lonely,Not really Further outside of the city though The neighborhood was getting rough
13183,lonely,Plus I have kids
13184,lonely,I think you mean safe
13189,lonely,oh no what did you do
13190,lonely,wow you are a brave soul
13191,lonely,I found some hobbies and eventually got through it
13295,lonely,Hey that makes for peaceful living doesnt it
13296,lonely,Wow   WHY  LOL  Thats crazy
13297,lonely,haha  Murder documentaries are my favorite too
13298,lonely,Its lonely and I always think Im going to be murdered and end up on 2020
13299,lonely,I watch those shows too much
13300,lonely,They are too good to not watch
13327,sad,that sucks
13328,sad,Tell her its okay
13329,sad,Yeah shes not getting any younger too
13391,sad,oh no that is not cool
13392,sad,I commend you for admitting your fault in it
13393,sad,No I am poor so its a big deal However she did it absent mindedly as they were in a big package Still I shouldnt have gotten so mad
13436,sad,That is too bad Are they getting along now
13437,sad,Are they okay now
13438,sad,Not quite Theyre not aggressive with one another but they still havent completely gotten back to the point where theyre acting normal I guess its just a matter of time Theyve been together four years and that was the worst fight yet
13439,sad,Yeah theyre fine Thanks for asking
13443,lonely,I often dream of ending my own life because of being alone
13444,lonely,I often times wish I didnt have any family and friends would make things easier
13445,lonely,Yeah I get those thoughts sometimes too but I feel like doing that would be so selfish We need to think of our family and friends and how much they care about us
13492,sad,oh im sorry to here that always good to see family
13493,sad,hopefully things get better for you
13494,sad,Yeah  Seems like theyre dropping like flies up there  Wont have much family left in illinois if this keeps happening
13501,sad,How old was she
13502,sad,Wow thats pretty young for an elder She is in a better place now
13503,sad,She was in her 60s
13513,sad,oh im sorry to hear that what happened
13514,sad,oh that stinks
13515,sad,He had a type of canine cancer and had to be put to sleep  He really was my best friend
13552,lonely,Im sorry to hear that I am sure you will get one soon
13553,lonely,I understand although everyone needs some alone time too
13554,lonely,I just hate to be by myself
13585,lonely,I am sorry to hear that thats terrible
13586,lonely,Id gladly be your friend if you want
13587,lonely,its all good  i still have my imaginary friend
13591,sad,What happened
13592,sad,Try smoking weed Its a lot better than chemotherapy
13593,sad,I was diagnosed with cancer and needed help with my kids during treatments
13661,lonely,what are you gonna do partyyyyy
13662,lonely,that sucks
13663,lonely,I dont know what to do Its so quiet here and nothing to do
13664,lonely,I know what you mean Thats no fun
13665,lonely,Do you have any hobbies or do you like to read
13666,lonely,yea boring sometimes
13676,lonely,Where did they go
13677,lonely,What did you do while they are gone
13678,lonely,They went to Mystic CT I feel so lost and bored without them here
13725,lonely,Im sorry that you feel lonely
13726,lonely,Absolutely never be a victim
13727,lonely,Thanks I dont like it a lot but its better then living with abuse right
13746,lonely,I wish that was not the case I would have came
13747,lonely,I hope you have much brighter days moving forward
13748,lonely,Thats so thoughtful of you to say  Made my day brighter
13752,lonely,Is that relaxing to you or lonely 
13753,lonely,Try to enjoy the quiet but not get down
13754,lonely,It is both in a way more so the second than anything
13755,lonely,I am not used to the quiet My children have extreme strong lungs Enough to cause me migraines all day haha every day almost
13783,sad,That is so sad I am sorry
13784,sad,Thats a very nice way to think of it
13785,sad,Its okay  funerals are always a sad time but we all get through it
13795,lonely,Oh is the new extra space a good thing
13796,lonely,I can imagine that being a bit lonely
13797,lonely,Maybe but I have never lived alone before It is very quiet and weird
13810,sad, Oh my gosh seriously
13811,sad,I am so sorry ab out that I hope things get better soon
13812,sad,I cant believe how hurt I am about it
13840,lonely,Why did you go to the movies by yourself
13841,lonely,That is great being so independent
13842,lonely,I didnt have anyone to go with during the afternoon and I really wanted to check the film out
13843,lonely,Yeah its similar to eating at a restaurant by yourself It can feel a bit sad though
13866,sad,Where are you going
13867,sad,Oh thats never fun I hate that too
13868,sad,I have to go back to my rountine work I am so sad about it I wish the holiday can continue and for the first time I found love during a holiday
13872,sad,How does it make you feel when you think about them
13873,sad,Aww I am sorry to hear that I hope you can regain contact with them someday Im sure theyd love to hear from you
13874,sad,I feel so depressed and I miss them a ton
13875,lonely,Why is that
13876,lonely,Oh maybe you should try joining  achurch
13877,lonely,I dont have anyone to hang out with where I live now
13881,sad,Oh no thats terrible Can it be replaced
13882,sad,What kind was it
13883,sad,Fortunately yes it just sucks because it was brand new
13938,lonely,Awh that really bites Its the worst when it feels like everyone is having fun without you
13939,lonely,Thats right It will all pay off for you in a few years
13940,lonely,Yea it really is They seem like they are having a lot of fun but I am doing what is best for me
13992,lonely,sorry about that you could have called a friend
13993,lonely,yah or get a comedy or get to watch a movie
13994,lonely,Yes I didnt think about that I will do that next time
14027,sad,Why Was it because you didnt take those last few moments to spend time with her Sometimes we have so much going on we dont have time to do it all
14028,sad,Oh no Im sorry to hear that You had no idea that would be the last visit but I can understand how you would feel that way I have no doubt she understood why you didnt though
14029,sad,I had an emergency at work I am a doctor and it was a life and death situation  but now I regret because I could have assigned someone else and driven my mother because that was her life visit 
14061,sad,Oh my gosh thats such a heavy thing to think about Did you ask her or confront her
14062,sad,Well I hope theyve figured it out together during this time 
14063,sad,Yes but she denies it 
14064,sad,They stayed together 39 years and then my dad passed
14085,sad,Oh no Are you thinking about buying another one
14086,sad,The meaningfulness is definitely something you can never replace I hope that it shows up and if not I hope this watch brings meaning to your life in new ways
14087,sad,Unfortunatly yes But that one had a lot of meaning to me as it was my fathers It hurts to not have it anymore
14101,sad,You will be fine just get a new one
14102,sad,I understand how you feel I used to have one like that when It passed away I got a puppy of the same exact breed and gave it the same name with a few month It looked like the one that passed away so It helped me to forget 
14103,sad,Thanks but I wont
14124,sad,Whats got you feeling down
14125,sad,How inconvenient Are you going to take it to a technician
14126,sad,My computer suddenly stopped working yesterday and I cant figure out why
14127,sad,Yes I think that is my logical next step to get it fixed I hope they can fix it
14134,lonely,That can be sad but luckily you can plan to visit them in the future
14135,lonely,Yes using social media really helps us connect with friends and family so much better
14136,lonely,I do But for now I do miss them and it makes me feel sad that they arent around in person Social media does help though
14316,lonely,Oh no  Dont say that  I start a new job today
14317,lonely,Why dont you talk to yours  Im so sorry
14318,lonely,Youll be alright make sure to talk to your coworkers or youll feel lonely like me
14337,lonely,You must felt really lonely because you need friends in college
14338,lonely,I bet it can I had no friends in college either
14339,lonely,yep it really did get quite lonesome at times
14346,lonely,Where did you land in then India or something
14347,lonely,Aw well that seems like it would be a great time I hear the beaches are beautiful
14348,lonely,Wow what a great guess Haha Thailand actually
14386,lonely,ok how did you manage the situation
14387,lonely,I think you should have talked to the hostel management to help you out on this as well
14388,lonely,it was hard since i didnt have many friends at the time got quite lonesome
14396,lonely,Theyre not very good friends then You should confront them about this
14397,lonely,Could be hopefully the wont dismiss you like that in the future
14398,lonely,Maybe I will I figured they were just all truly busy
14487,lonely,Your dog doesnt keep you good company
14488,lonely,I guess so but it should be able to alleviate a lot of that loneliness
14489,lonely,And that should have said LIVE lol  She does but its not the same as having other people to talk to
14538,lonely,Im really sorry to hear that How long did you have it for
14539,lonely,Thats really tough right now I hope youre doing something fun to keep yourself occupied
14540,lonely,It been 2 days now 
14568,lonely,why arent you taking a vacation with them
14569,lonely,perhaps you could invite someone over to your place and watch a cool movie with them over a pizza
14570,lonely,I didnt have money or time to plan anything
14593,lonely,a better school
14594,lonely,oh that stinks
14595,lonely,They thought it was a better school and it probably was but I didnt feel like it was at the time
14596,lonely,I remember after the first day wondering if I would ever have any friends there
14635,sad,Oh  Where is she going
14636,sad,Aww man  That is a long time to be without your wife  I bet youre going to miss her 
14637,sad,She is going on a work trip for 2 months I am upset at this
14647,lonely,Oh Im sorry Have you tried to talk to people
14648,lonely,You can try again to reach out to people Otherwise remember that it is only temporary soon you will be in a different class with more opportunities to make friends  
14649,lonely,I have but they do not like me I sit alone at lunch every day because of this
14713,sad,I understand
14714,sad,Then you need to take a break 
14715,sad,Im not sure how to snap out of it I at times like my own space but being alone makes me feel depressed
14743,lonely,very true do you live alone now
14744,lonely,i feel you but look on the bright side it makes the moments being together far more special
14745,lonely,No with my wife and daughter but every year they go to Peru to visit her family for a few weeks and it sucks being by yourself 
14792,lonely,Why not Whats going on 
14793,lonely,Happens to the best of us we are only human Dont take it in a bad way im sure its been real nice being alone 
14794,lonely,Nothing just havent felt like getting out lately
14825,sad,Are you going to have any other roommate or you will be living alone
14826,sad,Maybe you can post an ad on Craigslist That way many will see and be interested 
14827,sad,Ill be by myself so I need to find another roomate Im not really sure about the best way to do that though I had enough randoms in college
14845,sad,Thats great Do you visit the casino often
14846,sad,Yeah I dont have the best luck in casinos either
14847,sad,Not really I dont like losing money The job is transferring her to Vegas though She is moving soon
14848,sad,I am going to miss her She is my best friend for 10 years
14890,sad,I hope you called the cops on him
14891,sad,Good because hes no good for you You deserve better
14892,sad,i did I am going to move before I am evicted I dont want him to know where I live
14893,sad,I know He screwed up
14897,lonely,its a gift and a curse as they say
14898,lonely,thats very true
14899,lonely,As is much of life but its better to live alone right now and not be abused I guess Ill take lonely over abuse 
14904,lonely,Wow Where did they go
14905,lonely,Aw You miss her Thats sweet My daughter wont leave the house so I can miss her lol
14906,lonely,They went to Coco beach It is so quiet and boring here without her
14917,lonely,Dont say that There is somebody for every single person on this earth
14918,lonely,Dont force it They usually come around when your not looking
14919,lonely,Where is my person
14920,lonely,I am just tired of looking now
14950,sad,yes i do
14951,sad,cause you ran out of candles
14952,sad,Me too I am very sad today wanna guess why
14953,sad,Yes that is true and then I tried to buy more but the store let me down
14977,lonely,I hear you What happened
14978,lonely,Thats not good I hope you both can communicate about it in a respectful way
14979,lonely,yeah we were broked up for a small fight
14980,lonely,yeah we can communicate each other
15015,sad,what breed is he
15016,sad,thats cute i bet hes a great dog
15017,sad,Hes a miniature pinscher very small
15071,lonely,Break ups normally have that affect 
15072,lonely,yes It is not easy at all It will get better one day at time 
15073,lonely,Yeah I know that now for sure
15080,lonely,It is eerie isnt it You must have felt quite strange Hope your poor doggie is ok
15081,lonely,That mustve been terrifying for you Its amazing how we can hear every little thing around us when were alone
15082,lonely,Yes she recovered well Yes it was strange I was jumping at every sound because I knew I was the only living thing in the house or was I 
